"gid","1","2","3","4","5","6","7","8","code"
"A/Whooper_swans/Hokkaido/W3/2017M",112,16,169,13,165,12,21,5,"112-16-169-13-165-12-21-5"
"A/Whooper_swans/Hokkaido/W73/2017M",112,16,169,13,165,12,21,5,"112-16-169-13-165-12-21-5"
"A/Whooper_swans/Hokkaido/W78/2017M",112,16,169,13,165,12,21,5,"112-16-169-13-165-12-21-5"
"A/Whooper_swans/Hokkaido/W80/2017M",112,16,169,13,165,12,21,5,"112-16-169-13-165-12-21-5"
"A/Wild_Bird/South_Korea/KNU2020-77/2020O",35,31,56,31,2,565,6,27,"35-31-56-31-2-565-6-27"
"A/Wild_Duck/South_Korea/KNU2020-11/2020O",82,122,227,14,29,73,21,21,"82-122-227-14-29-73-21-21"
"A/Wild_Duck/South_Korea/KNU2020-137/2020O",35,102,1107,14,173,63,6,803,"35-102-1107-14-173-63-6-803"
"A/Wild_Duck/South_Korea/KNU2020-28/2020O",92,351,56,50,2896,367,10,21,"92-351-56-50-2896-367-10-21"
"A/Wild_Duck/South_Korea/KNU2020-86/2020O",106,102,28,14,2897,73,21,21,"106-102-28-14-2897-73-21-21"
"A/Wild_bird/MUWRP-Uganda/863/2018M",38,36,37,36,36,31,26,1671,"38-36-37-36-36-31-26-1671"
"A/Wild_duck/South_Korea/1804/2018M",8,14,80,1,2,69,1829,17,"8-14-80-1-2-69-1829-17"
"A/Wild_duck/South_Korea/KNU18-28/2018M",47,49,54,86,19,12,10,1777,"47-49-54-86-19-12-10-1777"
"A/Wild_duck/South_Korea/KNU18-93/2018M",47,49,54,86,19,12,10,5,"47-49-54-86-19-12-10-5"
"A/Wild_duck/South_Korea/KNU2020-104/2020O",35,128,56,31,29,15,6,21,"35-128-56-31-29-15-6-21"
"A/Wild_duck/South_Korea/KNU2020-134/2020O",35,102,59,31,173,12,10,22,"35-102-59-31-173-12-10-22"
"A/Wild_duck/South_Korea/KNU2020-29/2020O",92,351,397,70,29,20,10,21,"92-351-397-70-29-20-10-21"
"A/Wild_duck/South_Korea/KNU2020-31/2020O",427,180,397,70,18,20,29,27,"427-180-397-70-18-20-29-27"
"A/Wild_duck/South_Korea/KNU2020-58/2020O",35,351,397,70,29,20,6,21,"35-351-397-70-29-20-6-21"
"A/Wild_duck/South_Korea/KNU2020-71/2020O",35,351,397,70,29,20,6,21,"35-351-397-70-29-20-6-21"
"A/Wild_waterfowl/Australia/22-02927-0052/2022O",6,797,2035,375,112,391,6,1070,"6-797-2035-375-112-391-6-1070"
"A/Wood_Duck/OH/OH22-20551/2022O",2,10,74,1,1,1,1,1,"2-10-74-1-1-1-1-1"
"A/WuXi/0126/2014M",4,17,2,3,101,5,929,15,"4-17-2-3-101-5-929-15"
"A/WuXi/0213/2016M",4,2,2,3,3,5,2,3,"4-2-2-3-3-5-2-3"
"A/WuXi/0219/2016M",4,2,2,3,3,5,2,3,"4-2-2-3-3-5-2-3"
"A/WuXi/0317/2014M",4,198,2,3,101,5,838,15,"4-198-2-3-101-5-838-15"
"A/WuXi/0402/2013M",30,2,1,3,101,138,2,3,"30-2-1-3-101-138-2-3"
"A/WuXi/0409/2014M",4,198,2,3,101,5,2,3,"4-198-2-3-101-5-2-3"
"A/WuXi/0410/2014M",14,2,353,3,3,5,2,1049,"14-2-353-3-3-5-2-1049"
"A/WuXi/0423/2014M",4,17,1,3,101,317,2,15,"4-17-1-3-101-317-2-15"
"A/WuXi/0506/2015M",4,17,2,3,101,5,2,3,"4-17-2-3-101-5-2-3"
"A/Wuxi/1/2013K",2839,2,1,3,3,5,2,3,"2839-2-1-3-3-5-2-3"
"A/Wuxi/2/2013K",30,2,1,3,3,725,2,3,"30-2-1-3-3-725-2-3"
"A/Yangzhou/125/2022O",349,1378,1729,1,324,67,1,118,"349-1378-1729-1-324-67-1-118"
"A/Yunnan/0127/2015K",31,2,1,7,3,14,105,274,"31-2-1-7-3-14-105-274"
"A/Yunnan/0129/2017K",4,2,2,3,3,5,2,3,"4-2-2-3-3-5-2-3"
"A/Zhejiang/DTID-ZJU01/2013K",30,2,1,3,3,5,2,3,"30-2-1-3-3-5-2-3"
"A/Zhejiang/HZ1/2013K",855,2,1,3,3,5,2,3,"855-2-1-3-3-5-2-3"
"A/Zhejiang/LS01/2014K",14,2,1,3,3,5,2,3,"14-2-1-3-3-5-2-3"
"A/Zhongshan/201501/2015K",921,12,105,255,26,11,2,15,"921-12-105-255-26-11-2-15"
"A/american_black_duck/Ohio/1823/2005C",23,8,23,133,12,75,5,19,"23-8-23-133-12-75-5-19"
"A/american_green-winged_teal/Wisconsin/11OS3551/2011C",43,13,63,16,32,27,19,4,"43-13-63-16-32-27-19-4"
"A/aquatic_bird/Cheonan/319/2008M",3506,58,47,163,65,12,61,18,"3506-58-47-163-65-12-61-18"
"A/aquatic_bird/Cheonan/408/2012M",41,159,399,195,19,12,10,454,"41-159-399-195-19-12-10-454"
"A/aquatic_bird/Cheonan/418/2012M",69,49,28,1287,43,53,6,18,"69-49-28-1287-43-53-6-18"
"A/aquatic_bird/Cheongju/431/2010M",119,49,2036,70,191,15,6,5,"119-49-2036-70-191-15-6-5"
"A/aquatic_bird/Gunsan/160/2007M",186,172,248,50,65,33,135,2383,"186-172-248-50-65-33-135-2383"
"A/aquatic_bird/Gunsan/237/2008M",530,26,47,134,114,22,2462,5,"530-26-47-134-114-22-2462-5"
"A/aquatic_bird/India/NIV-17095/2007C",186,2545,723,445,1248,20,6,5,"186-2545-723-445-1248-20-6-5"
"A/aquatic_bird/Jeonju/140/2007M",3508,3974,925,148,2899,116,135,5,"3508-3974-925-148-2899-116-135-5"
"A/aquatic_bird/Jeonju/338/2008M",3509,1449,61,21,103,53,6,5,"3509-1449-61-21-103-53-6-5"
"A/aquatic_bird/Jeonju/385/2009M",1146,80,53,96,65,51,6,5,"1146-80-53-96-65-51-6-5"
"A/aquatic_bird/Jeonju/KN4/2005M",775,80,1451,347,300,555,40,37,"775-80-1451-347-300-555-40-37"
"A/aquatic_bird/Korea/CN17/2009C",185,1202,1452,134,1630,12,102,5,"185-1202-1452-134-1630-12-102-5"
"A/aquatic_bird/Korea/CN2/2009K",255,114,76,144,65,12,6,5,"255-114-76-144-65-12-6-5"
"A/aquatic_bird/Korea/CN20/2009C",867,56,535,16,1448,22,788,7,"867-56-535-16-1448-22-788-7"
"A/aquatic_bird/Korea/CN5/2009C",185,1203,724,134,114,62,6,5,"185-1203-724-134-114-62-6-5"
"A/aquatic_bird/Korea/CN5/2009J",185,1203,724,134,114,62,6,5,"185-1203-724-134-114-62-6-5"
"A/aquatic_bird/Korea/CN9/2009C",185,49,53,134,114,15,6,5,"185-49-53-134-114-15-6-5"
"A/aquatic_bird/Korea/W69/2005C",220,1444,157,16,43,186,6,5,"220-1444-157-16-43-186-6-5"
"A/aquatic_bird/Seosan/228/2007M",271,26,28,80,738,12,21,170,"271-26-28-80-738-12-21-170"
"A/aquatic_bird/South_Korea/sw001/2015M",523,159,56,450,19,20,6,22,"523-159-56-450-19-20-6-22"
"A/aquatic_bird/South_Korea/sw002/2016M",106,41,56,80,19,20,10,18,"106-41-56-80-19-20-10-18"
"A/aquatic_bird/South_Korea/sw003/2016M",106,41,56,80,19,20,10,18,"106-41-56-80-19-20-10-18"
"A/aquatic_bird/South_Korea/sw004/2016M",106,41,56,80,19,20,10,18,"106-41-56-80-19-20-10-18"
"A/aquatic_bird/South_Korea/sw006/2016M",92,174,437,21,19,51,1883,451,"92-174-437-21-19-51-1883-451"
"A/aquatic_bird/South_Korea/sw007/2015M",643,102,77,86,19,51,10,5,"643-102-77-86-19-51-10-5"
"A/avian/Canada/IM-1474/1994M",788,711,464,360,845,303,6,180,"788-711-464-360-845-303-6-180"
"A/avian/Colorado/456648/2006G",130,1277,606,700,463,15,416,275,"130-1277-606-700-463-15-416-275"
"A/avian/Delaware_Bay/226/2006C",109,29,14,116,2901,37,5,2,"109-29-14-116-2901-37-5-2"
"A/avian/Hong_Kong/0719/2007G",25,77,7,23,7,4,4,313,"25-77-7-23-7-4-4-313"
"A/avian/Hong_Kong/0828/2007G",25,77,7,23,7,4,4,313,"25-77-7-23-7-4-4-313"
"A/avian/Hong_Kong/1993/2007G",25,77,7,23,7,4,4,313,"25-77-7-23-7-4-4-313"
"A/avian/Hong_Kong/2372/2007G",25,77,7,23,7,4,4,313,"25-77-7-23-7-4-4-313"
"A/avian/Israel/584/2005E",205,169,132,129,141,864,87,101,"205-169-132-129-141-864-87-101"
"A/avian/Japan/8KI0040/2008C",245,1016,28,21,249,186,6,631,"245-1016-28-21-249-186-6-631"
"A/avian/Japan/8KI0068/2008C",279,287,28,21,377,53,21,5,"279-287-28-21-377-53-21-5"
"A/avian/Japan/8KI0102/2008C",279,287,28,21,377,15,21,51,"279-287-28-21-377-15-21-51"
"A/avian/Japan/8KI0135/2008C",1347,80,28,16,952,186,21,5,"1347-80-28-16-952-186-21-5"
"A/avian/Japan/8KI0148/2008C",271,172,28,1112,1631,12,21,170,"271-172-28-1112-1631-12-21-170"
"A/avian/Japan/8KI0150/2008C",202,287,17,21,43,15,6,51,"202-287-17-21-43-15-6-51"
"A/avian/Japan/8KI0162/2008C",279,287,28,21,377,15,21,51,"279-287-28-21-377-15-21-51"
"A/avian/Japan/8KI0184/2008C",1146,49,504,641,43,53,6,5,"1146-49-504-641-43-53-6-5"
"A/avian/Japan/8KI0185/2008C",41,49,17,641,43,53,6,5,"41-49-17-641-43-53-6-5"
"A/avian/Japan/8KI0195/2008C",202,93,17,76,952,15,21,5,"202-93-17-76-952-15-21-5"
"A/avian/Maryland/13OS2922/2013C",68,9,4,24,20,30,3,7,"68-9-4-24-20-30-3-7"
"A/avian/Massachusetts/25756/1990C",1262,277,313,108,504,180,278,7,"1262-277-313-108-504-180-278-7"
"A/avian/Missouri/465593-7/2006G",17,218,9,13,14,27,5,10,"17-218-9-13-14-27-5-10"
"A/avian/Missouri/466554-6/2006G",556,109,39,13,16,19,3,33,"556-109-39-13-16-19-3-33"
"A/avian/New_York/466812/2006G",113,22,23,13,98,27,5,10,"113-22-23-13-98-27-5-10"
"A/avian/Saudi_Arabia/910134/2006G",2252,705,495,320,795,478,222,632,"2252-705-495-320-795-478-222-632"
"A/avian/Southcentral_Alaska/7KW0388R1/2007C",115,22,22,10,235,23,5,19,"115-22-22-10-235-23-5-19"
"A/baikal_teal/Korea/1437/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1441/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1445/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1446/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1447/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1448/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1449/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1452/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1454/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1456/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1457/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/1458/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/2399/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/2402/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/2403/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/2406/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/2414/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/2416/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/2417/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Korea/Donglim3/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/baikal_teal/Shanghai/SH-101/2013K",1394,159,251,347,19,12,40,454,"1394-159-251-347-19-12-40-454"
"A/baikal_teal/Shanghai/SH-104/2013K",47,159,251,347,19,12,40,454,"47-159-251-347-19-12-40-454"
"A/baikal_teal/Shanghai/SH-89/2013K",69,49,59,347,47,12,6,18,"69-49-59-347-47-12-6-18"
"A/baikal_teal/Shanghai/SH-90/2013K",202,2955,28,21,114,15,21,7,"202-2955-28-21-114-15-21-7"
"A/baikal_teal/Xianghai/421/2011K",69,293,44,195,65,12,102,1373,"69-293-44-195-65-12-102-1373"
"A/baikal_teal/Xianghai/426/2011J",271,49,811,144,2445,12,6,5,"271-49-811-144-2445-12-6-5"
"A/baikal_teal/Xianghai/XH-15F/2012K",69,76,28,21,666,15,6,18,"69-76-28-21-666-15-6-18"
"A/baikal_teal/Xianghai/XH-28C/2012K",69,49,233,21,666,48,6,51,"69-49-233-21-666-48-6-51"
"A/bald_eagle/FL/W22-114/2022O",2,7,26,1,1,1,1,1,"2-7-26-1-1-1-1-1"
"A/bald_eagle/Florida/W22-134-CL/2022O",2,7,26,1,1,1,1,1,"2-7-26-1-1-1-1-1"
"A/bald_eagle/Florida/W22-134-OP/2022O",2,7,26,1,1,1,1,1,"2-7-26-1-1-1-1-1"
"A/bald_eagle/Florida/W22-153A/2022O",2,7,26,1,1,1,1,1,"2-7-26-1-1-1-1-1"
"A/bald_eagle/Florida/W22-189/2022O",1544,1778,2233,1,1,1,1,1,"1544-1778-2233-1-1-1-1-1"
"A/bald_eagle/Florida/W22-191/2022O",2,1279,26,1,1,1,1,1,"2-1279-26-1-1-1-1-1"
"A/bald_eagle/Florida/W22-195/2022O",2,7,312,1,1,1,1,1,"2-7-312-1-1-1-1-1"
"A/bald_eagle/Georgia/W22-194A/2022O",2,7,26,1,1,1,1,1,"2-7-26-1-1-1-1-1"
"A/bald_eagle/Georgia/W22-194B/2022O",2,7,312,1,1,1,1,1,"2-7-312-1-1-1-1-1"
"A/bald_eagle/Georgia/W22-202/2022O",2,7,312,1,1,1,1,1,"2-7-312-1-1-1-1-1"
"A/bald_eagle/Idaho/15-002892-2/2015K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/bald_eagle/Kansas/W22-185/2022O",2,1,26,1,1,1,1,1,"2-1-26-1-1-1-1-1"
"A/bald_eagle/Kansas/W22-197/2022O",3,1,26,1,2,1,1,1,"3-1-26-1-2-1-1-1"
"A/bald_eagle/Kansas/W22-384/2022O",2,1,26,1,1,1,1,1,"2-1-26-1-1-1-1-1"
"A/bald_eagle/North_Carolina/W22-140/2022O",9,1,26,1,1,1,1,588,"9-1-26-1-1-1-1-588"
"A/bald_eagle/North_Carolina/W22-186/2022O",2,7,26,1,1,1,1,1,"2-7-26-1-1-1-1-1"
"A/bald_eagle/North_Carolina/W22-229/2022O",2,7,312,1,1,1,1,1,"2-7-312-1-1-1-1-1"
"A/bald_eagle/North_Carolina/W23-012/2022O",2,10,74,1,1,1,1,1,"2-10-74-1-1-1-1-1"
"A/bald_eagle/North_Carolina/W23-142A/2023O",110,2483,26,1,1,1,1,1,"110-2483-26-1-1-1-1-1"
"A/bald_eagle/North_Carolina/W23-142B/2023O",110,2484,26,1,1,1,1,1,"110-2484-26-1-1-1-1-1"
"A/bald_eagle/South_Carolina/W22-205/2022O",2,7,26,1,1,1,1,1,"2-7-26-1-1-1-1-1"
"A/bald_eagle/South_Carolina/W23-142A/2023O",474,7,26,1,1,1,1,1,"474-7-26-1-1-1-1-1"
"A/bald_eagle/South_Carolina/W23-201A/2023O",2,10,74,1,1,1,1,1,"2-10-74-1-1-1-1-1"
"A/bald_eagle/South_Carolina/W23-201B/2023O",2,10,74,1,1,1,1,1,"2-10-74-1-1-1-1-1"
"A/bald_eagle/Tennessee/W23-003/2022O",474,7,26,1,1,1,1,1,"474-7-26-1-1-1-1-1"
"A/bald_eagle/Virginia/W22-101/2023O",110,2485,26,1,1,1,1,1,"110-2485-26-1-1-1-1-1"
"A/bald_eagle/Virginia/W22-1222/2022O",2,10,74,1,1,1,1,1,"2-10-74-1-1-1-1-1"
"A/bald_eagle/Virginia/W22-306/2022O",2,7,26,1,1,1,1,1,"2-7-26-1-1-1-1-1"
"A/bar-headed_goose/China/133/2015M",34,206,42,8,318,571,7,2228,"34-206-42-8-318-571-7-2228"
"A/bar-headed_goose/China/47/2015M",34,27,42,8,318,42,7,133,"34-27-42-8-318-42-7-133"
"A/bar-headed_goose/China/70/2015M",34,27,42,8,318,42,7,133,"34-27-42-8-318-42-7-133"
"A/bar-headed_goose/China/F/2015M",34,27,42,8,318,42,7,133,"34-27-42-8-318-42-7-133"
"A/bar-headed_goose/Mongolia/1/05A",51,11,3,19,7,9,4,20,"51-11-3-19-7-9-4-20"
"A/bar-headed_goose/Mongolia/X53/2009A",96,809,41,18,78,8,4,442,"96-809-41-18-78-8-4-442"
"A/bar-headed_goose/Mongolia/X53/2009K",96,64,41,18,78,8,4,442,"96-64-41-18-78-8-4-442"
"A/bar-headed_goose/Qinghai/1-HVRI/2006H",857,11,3,234,7,9,763,20,"857-11-3-234-7-9-763-20"
"A/bar-headed_goose/Qinghai/3/2005H",1283,1950,3,234,7,9,4,20,"1283-1950-3-234-7-9-4-20"
"A/bar-headed_goose/Tibet/8/2006H",857,11,3,4,7,9,4,20,"857-11-3-4-7-9-4-20"
"A/bar_headed_goose/Mongolia/143/2005G",41,125,791,389,667,66,100,5,"41-125-791-389-667-66-100-5"
"A/barn_swallow/Hong_Kong/1161/2010K",18,45,5,18,23,8,4,11,"18-45-5-18-23-8-4-11"
"A/barnacle_goose/Netherlands/1/2005C",60,43,307,88,113,131,6,193,"60-43-307-88-113-131-6-193"
"A/barnacle_goose/Netherlands/1/2006K",72,576,363,118,111,48,303,22,"72-576-363-118-111-48-303-22"
"A/barnacle_goose/Netherlands/1/2010K",150,89,49,253,59,26,6,30,"150-89-49-253-59-26-6-30"
"A/barnacle_goose/Netherlands/1/2011K",60,1951,49,253,59,26,6,1134,"60-1951-49-253-59-26-6-1134"
"A/barnacle_goose/Netherlands/1/2014K",172,41,2234,154,612,26,6,346,"172-41-2234-154-612-26-6-346"
"A/barnacle_goose/Netherlands/2/2014M",22,41,71,31,2,69,1607,304,"22-41-71-31-2-69-1607-304"
"A/bean_goose/Hubei/SZY200/2016K",112,102,2235,392,260,33,10,5,"112-102-2235-392-260-33-10-5"
"A/bean_goose/Ishikawa/1701A012/2017L",19,28,5,7,6,18,7,11,"19-28-5-7-6-18-7-11"
"A/bean_goose/Ishikawa/1701A014/2017L",19,28,5,7,6,18,7,11,"19-28-5-7-6-18-7-11"
"A/bean_goose/Korea/220/2011K",69,3208,100,988,121,112,58,7,"69-3208-100-988-121-112-58-7"
"A/bean_goose/Korea/F27-6/2017M",119,655,1688,69,19,20,10,454,"119-655-1688-69-19-20-10-454"
"A/bean_goose/Korea/F54-8/2017M",119,655,1688,69,19,20,10,454,"119-655-1688-69-19-20-10-454"
"A/bean_goose/Korea/H328/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/bean_goose/Korea/H40/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/bean_goose/Korea/H53/2014K",10,68,13,5,21,24,9,14,"10-68-13-5-21-24-9-14"
"A/bean_goose/Netherlands/1/2007K",188,89,321,118,335,48,6,815,"188-89-321-118-335-48-6-815"
"A/bean_goose/Netherlands/1/2008K",318,89,274,98,37,26,6,127,"318-89-274-98-37-26-6-127"
"A/bean_goose/Netherlands/1/2009K",127,43,49,49,372,104,6,739,"127-43-49-49-372-104-6-739"
"A/bean_goose/Netherlands/2/2009K",127,43,49,49,372,104,6,739,"127-43-49-49-372-104-6-739"
"A/bean_goose/Tyva/10/2009G",96,64,41,18,78,8,4,1309,"96-64-41-18-78-8-4-1309"
"A/bewicks_swan/Netherlands/2/2007K",186,2131,71,14,81,65,61,1374,"186-2131-71-14-81-65-61-1374"
"A/bewicks_swan/Netherlands/3/2006K",60,43,55,118,59,48,6,193,"60-43-55-118-59-48-6-193"
"A/bewicks_swan/Netherlands/4/2006K",377,89,62,250,37,131,6,5,"377-89-62-250-37-131-6-5"
"A/bewicks_swan/Netherlands/5/2008K",72,195,347,109,490,12,1787,180,"72-195-347-109-490-12-1787-180"
"A/bewicks_swan/Netherlands/6/2006K",60,53,31,118,338,353,29,22,"60-53-31-118-338-353-29-22"
"A/bewicks_swan/Netherlands/7/2008K",127,43,425,49,139,104,6,1698,"127-43-425-49-139-104-6-1698"
"A/bewicks_swan/Netherlands/8/2009K",424,20,83,98,146,26,512,5,"424-20-83-98-146-26-512-5"
"A/bird/Belgium/10697/2016M",172,1270,76,50,213,33,937,1,"172-1270-76-50-213-33-937-1"
"A/bird/Guangxi/62/2005E",395,1179,836,177,326,52,36,176,"395-1179-836-177-326-52-36-176"
"A/bird/Guangxi/82/2005E",395,18,93,177,326,52,36,176,"395-18-93-177-326-52-36-176"
"A/bird/Guangxi/83/2005E",395,18,93,177,326,52,36,176,"395-18-93-177-326-52-36-176"
"A/bird/Guangxi/A1/2006E",125,1952,229,37,326,110,36,176,"125-1952-229-37-326-110-36-176"
"A/bird/Guangxi/H1/2006E",395,18,93,177,326,52,36,176,"395-18-93-177-326-52-36-176"
"A/black-bellied_whistling-duck/Colombia/1/2011C",1156,1065,1308,512,995,607,764,923,"1156-1065-1308-512-995-607-764-923"
"A/black-billed_magpie/Guangxi/29/2005G",395,18,93,177,326,52,36,176,"395-18-93-177-326-52-36-176"
"A/black-billed_magpie/Guangxi/30/2005H",395,18,93,177,326,52,36,176,"395-18-93-177-326-52-36-176"
"A/black-billed_magpie/Guangxi/31/2005H",395,18,93,177,326,52,36,176,"395-18-93-177-326-52-36-176"
"A/black-crowned_night_heron/Hong_Kong/659/2008C",25,64,7,18,23,8,4,924,"25-64-7-18-23-8-4-924"
"A/black-headed_Gull/Netherlands/5/2017M",1367,21,31,1164,327,64,542,240,"1367-21-31-1164-327-64-542-240"
"A/black-headed_gull/Denmark/4663-1/2018M",189,14,230,1,2,69,59,78,"189-14-230-1-2-69-59-78"
"A/black-headed_gull/Georgia/1/2011C",20,21,154,33,432,68,18,46,"20-21-154-33-432-68-18-46"
"A/black-headed_gull/Georgia/2/2011C",665,802,426,209,408,428,240,217,"665-802-426-209-408-428-240-217"
"A/black-headed_gull/Georgia/3/2011C",1157,21,154,33,432,68,18,46,"1157-21-154-33-432-68-18-46"
"A/black-headed_gull/Georgia/4/2011C",20,21,154,33,432,68,18,46,"20-21-154-33-432-68-18-46"
"A/black-headed_gull/Georgia/5/2012M",20,21,154,120,17,46,18,23,"20-21-154-120-17-46-18-23"
"A/black-headed_gull/Georgia/6/2011C",1157,21,154,33,432,68,18,46,"1157-21-154-33-432-68-18-46"
"A/black-headed_gull/Georgia/9/2011C",20,21,154,33,17,68,18,46,"20-21-154-33-17-68-18-46"
"A/black-headed_gull/Hyogo/2801E009/2017L",19,28,1496,7,6,18,7,134,"19-28-1496-7-6-18-7-134"
"A/black-headed_gull/Ibaraki/0803-194/2016L",19,28,5,7,6,18,7,11,"19-28-5-7-6-18-7-11"
"A/black-headed_gull/Iceland/1298/2011C",1854,1953,19,12,2304,134,34,217,"1854-1953-19-12-2304-134-34-217"
"A/black-headed_gull/Iceland/713/2010C",70,196,32,56,997,64,18,23,"70-196-32-56-997-64-18-23"
"A/black-headed_gull/Netherlands/1/2000M",1078,1067,427,459,598,969,513,510,"1078-1067-427-459-598-969-513-510"
"A/black-headed_gull/Netherlands/1/2005C",72,43,307,98,2742,26,42,18,"72-43-307-98-2742-26-42-18"
"A/black-headed_gull/Netherlands/1/2006C",72,576,307,14,111,134,6,1699,"72-576-307-14-111-134-6-1699"
"A/black-headed_gull/Netherlands/1/2008M",831,53,1931,118,749,970,6,217,"831-53-1931-118-749-970-6-217"
"A/black-headed_gull/Netherlands/1/2009K",159,196,32,179,17,99,18,1700,"159-196-32-179-17-99-18-1700"
"A/black-headed_gull/Netherlands/1/2010K",70,366,47,101,17,46,28,23,"70-366-47-101-17-46-28-23"
"A/black-headed_gull/Netherlands/1/2011K",1209,366,32,93,108,64,28,23,"1209-366-32-93-108-64-28-23"
"A/black-headed_gull/Netherlands/1/2012M",20,21,31,33,17,46,18,23,"20-21-31-33-17-46-18-23"
"A/black-headed_gull/Netherlands/1/2014K",20,21,31,349,230,99,18,240,"20-21-31-349-230-99-18-240"
"A/black-headed_gull/Netherlands/1/2015M",20,21,31,93,17,64,28,240,"20-21-31-93-17-64-28-240"
"A/black-headed_gull/Netherlands/1/2016M",926,1068,31,93,17,64,28,240,"926-1068-31-93-17-64-28-240"
"A/black-headed_gull/Netherlands/10/2007K",554,421,600,120,17,46,18,46,"554-421-600-120-17-46-18-46"
"A/black-headed_gull/Netherlands/10/2008M",159,44,32,101,17,68,647,23,"159-44-32-101-17-68-647-23"
"A/black-headed_gull/Netherlands/10/2010K",1290,282,32,101,108,286,28,46,"1290-282-32-101-108-286-28-46"
"A/black-headed_gull/Netherlands/10/2011M",20,939,32,101,108,68,18,23,"20-939-32-101-108-68-18-23"
"A/black-headed_gull/Netherlands/10/2012M",20,21,31,33,17,46,18,23,"20-21-31-33-17-46-18-23"
"A/black-headed_gull/Netherlands/10/2013K",20,21,154,33,17,68,18,46,"20-21-154-33-17-68-18-46"
"A/black-headed_gull/Netherlands/10/2014K",20,21,71,33,17,46,28,23,"20-21-71-33-17-46-28-23"
"A/black-headed_gull/Netherlands/10/2016M",20,243,31,33,327,99,18,46,"20-243-31-33-327-99-18-46"
"A/black-headed_gull/Netherlands/100/2008M",20,44,32,93,108,64,28,23,"20-44-32-93-108-64-28-23"
"A/black-headed_gull/Netherlands/100/2012K",20,21,31,33,17,46,18,23,"20-21-31-33-17-46-18-23"
"A/black-headed_gull/Netherlands/101/2008K",20,44,32,93,108,64,28,23,"20-44-32-93-108-64-28-23"
"A/black-headed_gull/Netherlands/101/2012M",20,21,31,33,17,46,18,23,"20-21-31-33-17-46-18-23"
"A/black-headed_gull/Netherlands/102/2008K",159,44,32,101,17,68,28,23,"159-44-32-101-17-68-28-23"
"A/black-headed_gull/Netherlands/102/2012K",20,21,31,33,17,46,18,23,"20-21-31-33-17-46-18-23"
"A/black-headed_gull/Netherlands/103/2012M",20,21,31,33,17,46,18,23,"20-21-31-33-17-46-18-23"
"A/black-headed_gull/Netherlands/105/2012K",20,21,1932,33,17,46,1439,23,"20-21-1932-33-17-46-1439-23"
"A/black-headed_gull/Netherlands/106/2012K",20,21,31,33,17,46,18,23,"20-21-31-33-17-46-18-23"
"A/black-headed_gull/Netherlands/107/2012K",20,939,179,93,108,64,673,23,"20-939-179-93-108-64-673-23"
"A/black-headed_gull/Netherlands/108/2012M",20,21,31,33,17,46,18,23,"20-21-31-33-17-46-18-23"
"A/black-headed_gull/Netherlands/11/2008M",20,196,32,179,1323,68,28,23,"20-196-32-179-1323-68-28-23"
"A/black-headed_gull/Netherlands/11/2009K",505,282,154,179,17,46,18,46,"505-282-154-179-17-46-18-46"
"A/black-headed_gull/Netherlands/11/2010K",20,196,32,56,17,64,28,23,"20-196-32-56-17-64-28-23"
